id,name,ownerId,street,suburb,state,postcode,phone,email,website,lat,lng,pricePerWeek,amenities,isActive,isFeatured,isTest,priceVerified,imageCount,description
gym-012,Vault Fitness,owner-3,44 St Georges Terrace,Perth CBD,WA,6000,+61 8 9221 7517,,https://www.motivateultra.au/,-31.955038000000002,115.8594314,18,cardio|free weights|showers|lockers,,,,,0,"Vault Fitness in Perth CBD is a well-equipped, independently operated gym delivering quality training in a friendly environment. Whether you prefer structured classes, personal training, or independent sessions, you'll find a welcoming community and the tools to reach your goals."
gym-013,Dohertys Gym,owner-3,154 Edward St,Perth CBD,WA,6000,+61 435 558 534,,http://www.dohertysgym.com/,-31.946684599999998,115.8676778,30,cardio|free weights|showers|lockers,,,,,0,"An independently owned gym in Perth CBD that takes pride in a welcoming, results-focused atmosphere. Members enjoy a well-maintained floor of cardio and strength equipment alongside access to knowledgeable, approachable trainers."
gym-014,GDS Fitness,owner-3,555 Wellington St,Perth CBD,WA,6000,+61 424 203 189,,,-31.950955199999996,115.85679429999998,18,cardio|free weights|showers|lockers,,,,,0,This independently run fitness facility in Perth CBD prides itself on quality coaching and a genuine community feel. Members have access to a well-stocked gym floor and a team of passionate trainers who go beyond the standard script to help people succeed.
gym-015,Revo Fitness - Northbridge,owner-3,63 John St,Perth CBD,WA,6003,+61 1300 738 638,,https://revofitness.com.au/gyms/northbridge/?utm_term=plcid_12619843575886421716&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Revo+Fitness+-+Northbridge,-31.944541899999994,115.8518138,18,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Revo Fitness - Northbridge makes fitness effortless with 24-hour access, no peak-hour wait times, and a straightforward equipment layout that covers everything from cardio to compound lifts. Show up, train, repeat."
gym-016,SPARQ Fitness,owner-3,146 Summers St,Perth CBD,WA,6000,+61 424 829 697,,https://sparqfitness.com.au/,-31.945017099999998,115.8730769,22,cardio|free weights|showers|lockers,,,,,0,"More personal than a big-box gym, more equipped than a micro-studio. This Perth CBD facility strikes the right balance, offering a quality training environment with staff who actually know your name."
gym-017,Fuller Fitness,owner-3,250 St Georges Terrace,Perth CBD,WA,6000,+61 8 9321 4819,,http://www.fullerfitness.com.au/,-31.9512996,115.8509292,20,cardio|free weights|showers|lockers,,,,,0,"Built by fitness enthusiasts for fitness enthusiasts, Fuller Fitness in Perth CBD offers a well-curated equipment range and a knowledgeable coaching team. Memberships are flexible and the community is welcoming — come as you are, leave fitter."
gym-018,Snap Fitness 24/7 Mt. Lawley,owner-3,565/569 Beaufort St,Perth CBD,WA,6050,+61 450 185 585,,https://www.snapfitness.com/au/gyms/mt-lawley?utm_source=gmb&utm_medium=yext,-31.936825199999998,115.87041830000001,10,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Whether you're squeezing in a pre-dawn session or a midnight run, this Perth CBD facility has you covered. Members enjoy modern cardio and strength equipment, clean amenities, and flexible no lock-in memberships."
gym-019,Beatty Park Leisure Centre,owner-3,220 Vincent St,Perth CBD,WA,6006,+61 8 9273 6080,,https://www.beattypark.com.au/,-31.9356784,115.8495864,20,pool|cardio|free weights|showers|lockers|group classes|childcare|parking|café,,,,,0,"Local government-operated and community-focused, this Perth CBD leisure centre provides high-quality fitness facilities at accessible price points. The gym floor, group fitness schedule, and aquatic areas make it a versatile training destination for residents of all ages."
gym-020,Plus Fitness 24/7 Mount Lawley,owner-3,2/800-802 Beaufort St,Perth CBD,WA,6050,+61 8 6460 5031,,https://www.plusfitness.com.au/gyms/mount-lawley/,-31.926067199999995,115.88089540000001,18,cardio|free weights|showers|lockers|24/7 access,,,,,0,"No frills, no fuss — just solid equipment available whenever you want it. This 24/7 gym packs cardio, machine weights, and a free weights section into a clean, well-lit space in Perth CBD."
gym-021,Snap Fitness 24/7 Fremantle,owner-3,22 Queen St,Fremantle,WA,6160,+61 456 222 884,,https://www.snapfitness.com/au/gyms/fremantle/?utm_source=extnet&utm_medium=yext,-32.0531856,115.7485121,10,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Open around the clock with secure key-fob entry, this Fremantle gym caters to early risers, shift workers, and night owls alike. A reliable roster of treadmills, bikes, cables, and dumbbells keeps your training consistent."
gym-022,Encounter Studios Fremantle,owner-3,217 High St,Fremantle,WA,6160,+61 437 792 295,,https://encounterstudiosco.com.au/,-32.05285670000001,115.75279139999998,40,cardio|free weights|showers|lockers|personal training,,,,,0,"A Fremantle studio built around personalised coaching and real results. Whether it's one-on-one personal training, small group sessions, or semi-private programming, every member gets the attention they need to make consistent progress."
gym-023,Spring Into Fitness,owner-3,Victoria Pavillion,Fremantle,WA,6160,,,https://springintofitness.com.au/,-32.055903799999996,115.7501101,28,cardio|free weights|showers|lockers,,,,,0,"Spring Into Fitness creates an environment where every member can thrive. A comprehensive equipment range, flexible membership options, and enthusiastic staff combine to form a fitness community that's genuinely invested in your success."
gym-024,The Yard Gym Fremantle,owner-3,1 Westbury Cres,Fremantle,WA,6157,+61 455 878 655,,https://theyardgym.com/locations/fremantle,-32.0376602,115.77688810000001,20,cardio|free weights|showers|lockers,,,,,0,"Built by fitness enthusiasts for fitness enthusiasts, The Yard Gym Fremantle in Fremantle offers a well-curated equipment range and a knowledgeable coaching team. Memberships are flexible and the community is welcoming — come as you are, leave fitter."
gym-025,Boom Fitness - East Fremantle,owner-3,155 Canning Hwy,Fremantle,WA,6158,+61 94381888,,http://boomfitness.com.au/,-32.0412026,115.764516,22,cardio|free weights|showers|lockers,,,,,0,"More personal than a big-box gym, more equipped than a micro-studio. This Fremantle facility strikes the right balance, offering a quality training environment with staff who actually know your name."
gym-026,Jetts Fremantle,owner-3,25/219 Hampton Rd,Fremantle,WA,6162,+61 8 9336 2080,,https://jetts.com.au/gym/jetts-fremantle/,-32.0740388,115.7593085,18,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Open around the clock with secure key-fob entry, this Fremantle gym caters to early risers, shift workers, and night owls alike. A reliable roster of treadmills, bikes, cables, and dumbbells keeps your training consistent."
gym-027,5th Element Fitness,owner-3,75 Queen Victoria St,Fremantle,WA,6160,+61 1300 433 339,,http://www.5thelementfitness.com.au/,-32.0462652,115.75254389999999,18,cardio|free weights|showers|lockers,,,,,0,This independently run fitness facility in Fremantle prides itself on quality coaching and a genuine community feel. Members have access to a well-stocked gym floor and a team of passionate trainers who go beyond the standard script to help people succeed.
gym-028,B Active East Fremantle,owner-3,1 Carnaby Close,Fremantle,WA,6158,+61 8 9362 6400,,https://bactiveeastfremantle.com.au/,-32.0454898,115.76799359999998,20,cardio|free weights|showers|lockers,,,,,0,"An independently owned gym in Fremantle that takes pride in a welcoming, results-focused atmosphere. Members enjoy a well-maintained floor of cardio and strength equipment alongside access to knowledgeable, approachable trainers."
gym-029,Fremantle Leisure Centre,owner-3,10 Shuffrey St,Fremantle,WA,6160,+61 8 9432 9999,,http://www.fremantle.wa.gov.au/flc,-32.047957,115.75285799999997,18,pool|cardio|free weights|showers|lockers|group classes|childcare|parking|café,,,,,0,"An affordable and family-friendly facility in Fremantle offering swimming, gym access, fitness classes, and sports programs in one location. Memberships are competitively priced and designed to suit every budget."
gym-030,Gold's Gym Fremantle,owner-3,256 Hampton Rd,Fremantle,WA,6162,+61 414 106 162,,https://goldsgym.com.au/fremantle/,-32.0746916,115.7613757,32,cardio|free weights|showers|lockers|group classes|personal training|parking,,,,,0,"Known for its extensive equipment range and diverse class schedule, this Fremantle health club is a popular choice for members of all fitness backgrounds. Professional staff are on hand during peak hours to assist and motivate."
gym-031,Fitstop South Fremantle,owner-3,2/252 Hampton Rd,Fremantle,WA,6162,+61 489 076 907,,https://fitstop.com/au/gyms/wa/south-fremantle/,-32.07363,115.7602239,48,group classes|personal training|cardio,,,,,0,"Small-group training at its finest in Fremantle. Sessions are carefully programmed to deliver full-body conditioning, alternating between cardio and resistance work for a comprehensive workout in under an hour. New members always welcome."
gym-032,Intense Health North Fremantle,owner-3,4/210 Queen Victoria St,Fremantle,WA,6159,+61 401 261 702,,https://www.intensehealth.com/,-32.03630690000001,115.7538635,22,cardio|free weights|showers|lockers,,,,,0,"Intense Health North Fremantle creates an environment where every member can thrive. A comprehensive equipment range, flexible membership options, and enthusiastic staff combine to form a fitness community that's genuinely invested in your success."
gym-033,Plus Fitness 24/7 Melville,owner-3,Enter via Upstairs Carpark,Fremantle,WA,6157,+61 8 6142 9022,,https://www.plusfitness.com.au/gyms/melville/,-32.0331738,115.79163309999998,12,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Open around the clock with secure key-fob entry, this Fremantle gym caters to early risers, shift workers, and night owls alike. A reliable roster of treadmills, bikes, cables, and dumbbells keeps your training consistent."
gym-034,Bsweat Fitness Studio & Gym North Fremantle,owner-3,2/107 Stirling Hwy,Fremantle,WA,6159,,,https://www.bsweat.com.au/,-32.02875,115.7528391,50,cardio|free weights|showers|lockers|personal training,,,,,0,Bsweat Fitness Studio & Gym North Fremantle in Fremantle is a coach-led boutique studio where sessions are designed around individual goals rather than generic programming. Small class sizes and an expert team create a training experience that genuinely moves the needle.
gym-035,The Mill Gym,owner-3,1 Coventry Parade,Fremantle,WA,6159,+61 2 0083 8746,,http://themillgym.com/,-32.0244968,115.7536893,30,cardio|free weights|showers|lockers,,,,,0,"Built by fitness enthusiasts for fitness enthusiasts, The Mill Gym in Fremantle offers a well-curated equipment range and a knowledgeable coaching team. Memberships are flexible and the community is welcoming — come as you are, leave fitter."
gym-036,Anytime Fitness Joondalup,owner-3,Unit 18/3 Sundew Rise,Joondalup,WA,6027,+61 458 207 935,,https://www.anytimefitness.com.au/gyms/au-1757/joondalup-wa-6027/,-31.759223499999997,115.77334739999999,16,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Your local Joondalup fitness destination is open every hour of every day, so you can train on your own terms. Expect a well-maintained floor of cardio equipment, pin-loaded machines, and a free weights area — everything you need, without the extras you don't."
gym-037,World Gym Joondalup,owner-3,6 Clarke Cres,Joondalup,WA,6027,+61 8 6500 0840,,https://www.worldgym.com.au/gyms/joondalup?utm_source=organic&utm_medium=gmb&utm_id=google,-31.748112199999994,115.76574790000001,28,cardio|free weights|showers|lockers|group classes|personal training|sauna|parking,,,,,0,"World Gym Joondalup in Joondalup is a flagship fitness facility with a large floor plan covering cardio machines, selectorised and free weights, a dedicated functional training zone, and a busy group fitness studio. Memberships include access to the full range of classes."
gym-038,Arena Joondalup Gym,owner-3,25 Kennedya Dr,Joondalup,WA,6027,+61 8 9300 7171,,http://www.arenajoondalup.com.au/gym,-31.734447099999997,115.76059989999999,18,cardio|free weights|showers|lockers,,,,,0,"Arena Joondalup Gym in Joondalup is a well-equipped, independently operated gym delivering quality training in a friendly environment. Whether you prefer structured classes, personal training, or independent sessions, you'll find a welcoming community and the tools to reach your goals."
gym-039,Revo Fitness - Joondalup,owner-3,Joondalup Gate 70/75 Joondalup Drive,Joondalup,WA,6027,+61 1300 738 638,,https://revofitness.com.au/gyms/joondalup/?utm_term=plcid_13497733512665128548&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Revo+Fitness+-+Joondalup,-31.770082499999997,115.77843770000001,18,cardio|free weights|showers|lockers|24/7 access,,,,,0,"A conveniently located 24/7 gym in Joondalup offering round-the-clock access to quality cardio machines, strength equipment, and free weights. Perfect for busy schedules, with no lock-in contracts and fully equipped change rooms."
gym-040,Goodlife Health Clubs Joondalup,owner-3,11 Injune Way,Joondalup,WA,6027,+61 8 9301 2222,,https://www.goodlife.com.au/clubs/joondalup/?utm_source=gbp&utm_medium=organic&utm_campaign=GL%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Goodlife%20Health%20Clubs%20Joondalup&utm_term=plcid_3334603423914566116,-31.7568514,115.7711389,28,cardio|free weights|showers|lockers|group classes|personal training|sauna|pool|parking,,,,,0,"A comprehensive health club experience in Joondalup, offering everything from beginners' classes to advanced strength training. The large floor plan, varied class timetable, and experienced coaching team make this a versatile training destination."
gym-041,ECU Sport and Fitness Centre,owner-3,Prilep Dr,Joondalup,WA,6027,+61 8 6304 5000,,https://www.ecu.edu.au/centres/digital-and-campus-services/our-services/sport-and-fitness,-31.7543087,115.77342250000001,18,cardio|free weights|showers|lockers,,,,,0,This independently run fitness facility in Joondalup prides itself on quality coaching and a genuine community feel. Members have access to a well-stocked gym floor and a team of passionate trainers who go beyond the standard script to help people succeed.
gym-042,Fitstop Joondalup,owner-3,Unit 4/133 Winton Rd,Joondalup,WA,6027,+61 427 545 839,,https://fitstop.com/au/web/locations/au/Joondalup,-31.739752199999998,115.75986639999999,50,group classes|personal training|cardio,,,,,0,"Built around the power of the group, this Joondalup studio delivers coached HIIT and functional training sessions designed to maximise results in minimal time. Rotating workouts and motivating coaches keep every visit fresh and effective."
gym-043,PLC Joondalup,owner-3,Unit 3/7 Packard St,Joondalup,WA,6027,+61 483 951 175,,https://premiumlifestyleclubs.com/welcome,-31.749303799999996,115.76311299999999,22,cardio|free weights|showers|lockers,,,,,0,"More personal than a big-box gym, more equipped than a micro-studio. This Joondalup facility strikes the right balance, offering a quality training environment with staff who actually know your name."
gym-044,Sista Fitness 24/7 Joondalup,owner-3,21 Joondalup Dr,Joondalup,WA,6027,+61 8 6311 5544,,https://sistafitness.com.au/,-31.774131200000003,115.7826667,15,cardio|free weights|showers|lockers|group classes|personal training|24/7 access,,,,,0,"Designed by women, for women — this Joondalup gym offers a private and empowering environment to work towards your goals. From cardio and resistance training to group classes, the focus is always on making fitness enjoyable and achievable."
gym-045,Momentum,owner-3,3/86 Winton Rd,Joondalup,WA,6027,+61 468 036 436,,http://clubmomentum.com.au/,-31.74447,115.76030999999998,28,cardio|free weights|showers|lockers,,,,,0,"Momentum creates an environment where every member can thrive. A comprehensive equipment range, flexible membership options, and enthusiastic staff combine to form a fitness community that's genuinely invested in your success."
gym-046,Optimal Health Fitness & Recovery,owner-3,3/43 Winton Rd,Joondalup,WA,6027,+61 8 6383 6398,,,-31.7489346,115.76130149999999,40,cardio|free weights|showers|lockers|personal training,,,,,0,"This Joondalup boutique facility delivers a premium training experience in a small, focused setting. Expert coaches, evidence-based programming, and a genuine investment in member outcomes set this studio apart from the standard gym."
gym-047,Arena Joondalup,owner-3,Kennedya Dr,Joondalup,WA,6027,+61 8 9300 3355,,https://www.arenajoondalup.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,-31.734645800000003,115.76070399999999,18,cardio|free weights|showers|lockers,,,,,0,"Arena Joondalup in Joondalup is a well-equipped, independently operated gym delivering quality training in a friendly environment. Whether you prefer structured classes, personal training, or independent sessions, you'll find a welcoming community and the tools to reach your goals."
gym-048,Champions Gym Joondalup Muay Thai Boxing,owner-3,5/8 Dwyer Turn,Joondalup,WA,6027,+61 481 169 801,,http://www.championsgym.com.au/,-31.740879699999997,115.7640519,38,boxing/mma|cardio|free weights|showers|lockers,,,,,0,"Champions Gym Joondalup Muay Thai Boxing offers structured classes in boxing, MMA, and kickboxing alongside a functional strength and conditioning program. Members enjoy the unique combination of skill development and high-intensity training that only combat sports can deliver."
gym-049,Anytime Fitness Beldon,owner-3,2/1 Gunter Grove,Joondalup,WA,6027,+61 434 234 479,,https://www.anytimefitness.com.au/gyms/au-1147/beldon-wa-6027/,-31.777038500000003,115.75643330000001,14,cardio|free weights|showers|lockers|24/7 access,,,,,0,"No frills, no fuss — just solid equipment available whenever you want it. This 24/7 gym packs cardio, machine weights, and a free weights section into a clean, well-lit space in Joondalup."
gym-050,iamFIT Training,owner-3,56/57 Joondalup Dr,Joondalup,WA,6027,+61 452 226 918,,http://www.iamfit.training/,-31.770404199999998,115.7797976,28,cardio|free weights|showers|lockers,,,,,0,This independently run fitness facility in Joondalup prides itself on quality coaching and a genuine community feel. Members have access to a well-stocked gym floor and a team of passionate trainers who go beyond the standard script to help people succeed.
gym-051,ZERO GYM,owner-3,36 Gwendoline Dr,Joondalup,WA,6027,+61 426 156 401,,https://zerogym.com.au/home,-31.7698778,115.7661675,25,cardio|free weights|showers|lockers,,,,,0,"A local gem in Joondalup, offering a fully equipped gym floor, experienced trainers, and a genuine commitment to member results. The atmosphere is motivating without being intimidating — ideal for members at every fitness level."
gym-052,Lacey's Boxing Gym,owner-3,1 Grand Blvd,Joondalup,WA,6027,+61 421 376 854,,https://www.laceys.net.au/,-31.733975299999997,115.76648179999998,32,boxing/mma|cardio|free weights|showers|lockers,,,,,0,"Whether you're training for competition or using martial arts as a fitness pathway, this Joondalup facility delivers expert coaching in striking and conditioning. Well-equipped with bags, rings, and matted areas, plus a full weights section."
gym-053,Club Lime Wanneroo,owner-3,1387 Wanneroo Rd,Joondalup,WA,6065,+61 8 9545 2112,,https://www.clublime.com.au/ourclubs/?id=deb57049-c717-4e86-a1f0-c2696be392cb&utm_source=gmb&utm_medium=organic&utm_campaign=gmb,-31.719043700000004,115.78198239999999,18,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Club Lime Wanneroo makes fitness effortless with 24-hour access, no peak-hour wait times, and a straightforward equipment layout that covers everything from cardio to compound lifts. Show up, train, repeat."
gym-054,iamFIT Cafe,owner-3,56 Joondalup Dr,Joondalup,WA,6027,+61 430 599 512,,https://www.iamfit.training/iamfit-cafe,-31.770402599999993,115.77969180000001,22,cardio|free weights|showers|lockers|café,,,,,0,"iamFIT Cafe creates an environment where every member can thrive. A comprehensive equipment range, flexible membership options, and enthusiastic staff combine to form a fitness community that's genuinely invested in your success."
gym-055,FIT College - Joondalup,owner-3,11 Injune Way,Joondalup,WA,6027,+61 1300 887 017,,https://www.fitcollege.edu.au/locations/perth-joondalup,-31.7566821,115.77059009999999,20,cardio|free weights|showers|lockers,,,,,0,"A home for Joondalup fitness enthusiasts who want more than a machine circuit and a TV screen. Solid equipment, engaged coaching, and a genuine sense of community keep members coming back week after week."
gym-056,World Gym Midland,owner-3,218 Great Eastern Hwy,Midland,WA,6056,+61 8 6149 8775,,https://www.worldgym.com.au/gyms/midland?utm_source=organic&utm_medium=gmb&utm_id=google,-31.891404699999995,116.01469580000001,28,cardio|free weights|showers|lockers|group classes|personal training|sauna|parking,,,,,0,"Known for its extensive equipment range and diverse class schedule, this Midland health club is a popular choice for members of all fitness backgrounds. Professional staff are on hand during peak hours to assist and motivate."
gym-057,Revo Fitness Midland,owner-3,4 Clayton St,Midland,WA,6056,,,https://revofitness.com.au/gyms/midland/?utm_term=plcid_3255164930036021765&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Revo+Fitness+Midland,-31.895991000000002,116.00866529999999,15,cardio|free weights|showers|lockers|24/7 access,,,,,0,"No frills, no fuss — just solid equipment available whenever you want it. This 24/7 gym packs cardio, machine weights, and a free weights section into a clean, well-lit space in Midland."
gym-058,Snap Fitness 24/7 Midland,owner-3,228 Great Eastern Hwy,Midland,WA,6056,+61 413 502 638,,https://www.snapfitness.com/au/gyms/midland?utm_source=gmb&utm_medium=yext,-31.891437300000003,116.014236,10,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Snap Fitness 24/7 Midland makes fitness effortless with 24-hour access, no peak-hour wait times, and a straightforward equipment layout that covers everything from cardio to compound lifts. Show up, train, repeat."
gym-059,Sista Fitness 24/7 Midland,owner-3,246 Great Eastern Hwy,Midland,WA,6056,+61 8 6311 5544,,http://sistafitness.com.au/,-31.891029999999997,116.01137000000001,20,cardio|free weights|showers|lockers|group classes|personal training|24/7 access,,,,,0,"Designed by women, for women — this Midland gym offers a private and empowering environment to work towards your goals. From cardio and resistance training to group classes, the focus is always on making fitness enjoyable and achievable."
gym-060,Strength and Motion Academy Midland 24/7 Gym,owner-3,4 Elliott St,Midland,WA,6056,+61 419 429 678,,http://www.smacademy.com.au/,-31.8940898,116.02943270000002,18,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Open around the clock with secure key-fob entry, this Midland gym caters to early risers, shift workers, and night owls alike. A reliable roster of treadmills, bikes, cables, and dumbbells keeps your training consistent."
gym-061,Empowered Centre,owner-3,2/245 Great Eastern Hwy,Midland,WA,6056,+61 488 058 401,,http://empoweredcentre.com.au/,-31.891769999999998,116.01085940000002,18,cardio|free weights|showers|lockers,,,,,0,"More personal than a big-box gym, more equipped than a micro-studio. This Midland facility strikes the right balance, offering a quality training environment with staff who actually know your name."
gym-062,Anytime Fitness Midvale,owner-3,367 Great Eastern Hwy,Midland,WA,6056,+61 472 679 613,,https://www.anytimefitness.com/en-au/locations/midvale-western-australia-au-1301,-31.894106700000002,116.02986449999999,15,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Compact and efficient, this Midland facility gives members access to a full suite of gym equipment any time, day or night. Swipe-card entry, clean facilities, and straightforward month-to-month memberships make it easy to get started."
gym-063,Ryderwear Gym & Retail Midvale,owner-3,238 Morrison Rd,Midland,WA,6056,+61 8 6155 7793,,https://www.ryderweargym.com/pages/locations,-31.886370399999997,116.03269730000001,28,cardio|free weights|showers|lockers,,,,,0,This independently run fitness facility in Midland prides itself on quality coaching and a genuine community feel. Members have access to a well-stocked gym floor and a team of passionate trainers who go beyond the standard script to help people succeed.
gym-064,SpeedFit Midland,owner-3,Shop T- 155/274 Great Eastern Hwy,Midland,WA,6056,+61 485 034 555,,https://joinspeedfit.com/location/midland-wa/,-31.890000999999998,116.00894980000001,70,personal training,,,,,0,SpeedFit Midland in Midland uses EMS (electro-muscle stimulation) technology to activate up to 90% of muscle fibres simultaneously during a 20-minute session — delivering results equivalent to hours of conventional training. Sessions are always coach-guided.
gym-065,Revo Fitness - Woodbridge,owner-3,380 Great Eastern Hwy,Midland,WA,6056,+61 1300 738 638,,https://revofitness.com.au/gyms/woodbridge/,-31.890351900000002,115.9953456,16,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Compact and efficient, this Midland facility gives members access to a full suite of gym equipment any time, day or night. Swipe-card entry, clean facilities, and straightforward month-to-month memberships make it easy to get started."
gym-066,Swan Active Midland,owner-3,27 Gray Dr,Midland,WA,6056,+61 8 9207 8888,,https://www.swanactive.com.au/locations,-31.8834608,116.0247096,20,pool|cardio|free weights|showers|lockers|group classes|childcare|parking|café,,,,,0,"Local government-operated and community-focused, this Midland leisure centre provides high-quality fitness facilities at accessible price points. The gym floor, group fitness schedule, and aquatic areas make it a versatile training destination for residents of all ages."
gym-067,Hillside CrossFit,owner-3,2 Elgee Rd,Midland,WA,6056,+61 431 614 865,,http://www.hillsidecrossfit.com.au/,-31.895956799999997,116.0247661,42,cardio|free weights|showers|lockers|group classes,,,,,0,"Hillside CrossFit is a CrossFit affiliate built around constantly varied, high-intensity functional movements. Daily WODs are coached by certified trainers, with a box environment where community is as important as the training itself."
